voter_id,candidate_name,pc_name
Amalapuram_V000128,B. V. Ramanayya,Amalapuram
Amalapuram_V000129,Kusuma Krishna Murty,Amalapuram
Narasapur_V000130,Vedantam Venkata Subba Rao,Narasapur
Narasapur_V000131,Vegesna Bangarraju,Narasapur
Narasapur_V000132,Ganta Arunakumar,Narasapur
Narasapur_V000133,Satyanarayana Vanka,Narasapur
Narasapur_V000134,Uddaraju Ramam,Narasapur
Narasapur_V000135,Alluri Subhash Chandra Bose,Narasapur
Eluru_V000136,Banda Surya Narayana,Eluru
Eluru_V000137,Tamminaidu Raajaani ( Sivudu Naidu ),Eluru
Eluru_V000138,Krishna Murthy Garapati,Eluru
Eluru_V000139,Kommareddy Suryanarayana,Eluru
Machilipatnam_V000140,Kakarla Babu Rao,Machilipatnam
Machilipatnam_V000141,Vadde Sobhanadreswara Rao,Machilipatnam
Machilipatnam_V000142,Ankineedu Maganti,Machilipatnam
Vijayawada_V000143,Christu Bhagwandas Netela,Vijayawada
Vijayawada_V000144,Krovvidy Suryaprakasarao,Vijayawada
Vijayawada_V000145,Nanduri Prasada Rao,Vijayawada
Vijayawada_V000146,Desari Nagabhushana Rao,Vijayawada
Vijayawada_V000147,Gottipati Murali Mohan,Vijayawada
Vijayawada_V000148,Godey Murahari,Vijayawada
Tenali_V000149,K. R. Sarma Alias Kuchibhatala Ramalingeswara Sarma,Tenali
Tenali_V000150,Avula Sambasiva Rao,Tenali
Tenali_V000151,Gunturu Bapanaiah,Tenali
Tenali_V000152,Meduri Nageswara Rao,Tenali
Guntur_V000153,Babu Rajendra Prasad Pulla,Guntur
Guntur_V000154,Pandaraboina Sambasiva Rao Yadav,Guntur
Guntur_V000155,Desu Anjaneyulu,Guntur
Guntur_V000156,Balabhadradrapathruni Srinadha Rao,Guntur
Guntur_V000157,Kasaraneini Sadasiva Rao,Guntur
Guntur_V000158,Kotha Raghuramaiah,Guntur
Bapatla_V000159,Doppalapudi Suba Rao,Bapatla
Bapatla_V000160,Jagarlamudi Chandramouli,Bapatla
Bapatla_V000161,Ankineedu Prasada Rao Pamulapati,Bapatla
Narasaraopet_V000162,Sabbasani Malla Reddy,Narasaraopet
Narasaraopet_V000163,Yakub Baig,Narasaraopet
Narasaraopet_V000164,Puthota Showraiah,Narasaraopet
Narasaraopet_V000165,Illuri Kotireddy,Narasaraopet
Narasaraopet_V000166,Brahmananda Reddy Kasu,Narasaraopet
Ongole_V000167,Gujjala Yallamanda Reddy,Ongole
Ongole_V000168,Muppavarapu Venkaiah Alias Venkaiah Naidu,Ongole
Ongole_V000169,Puli Venkata Reddy,Ongole
Nellore_V000170,Indurupalli Ramanaih,Nellore
Nellore_V000171,Prappancha Bhanuraju Thummalagunta,Nellore
Nellore_V000172,Kamakshaiah Doddavarapu,Nellore
Tirupathi_V000173,Allam Krishnaiah,Tirupathi
Tirupathi_V000174,Balakrishnaiah Tambura,Tirupathi
Chittoor_V000175,P. M. Errappa Naidu,Chittoor
Chittoor_V000176,Yellarubylu Rami Reddy,Chittoor
Chittoor_V000177,N. P. Changalraya Naidu,Chittoor
Chittoor_V000178,P. Rajagopal Naidu,Chittoor
Rajampet_V000179,Devalappalli Venkata Subbareddy,Rajampet
Rajampet_V000180,Sangaraju Seshagiri Rao,Rajampet
Rajampet_V000181,P. Thimma Reddy,Rajampet
Rajampet_V000182,Pothuraju Parthasarathi,Rajampet
Cuddapah_V000183,Polanki Venkata Subbaiah,Cuddapah
Cuddapah_V000184,Y. Eswara Reddy,Cuddapah
Cuddapah_V000185,Vutukuru Rami Reddy,Cuddapah
Cuddapah_V000186,Kandala Obul Reddy,Cuddapah
Hindupur_V000187,A. Venkata Narayana Reddy,Hindupur
Hindupur_V000188,P. Narayana,Hindupur
Hindupur_V000189,K. Ramachandra Reddy,Hindupur
Hindupur_V000190,P. Bayapa Reddy,Hindupur
Anantapur_V000191,D. Narayanaswamy,Anantapur
Anantapur_V000192,Darur Pullaiah,Anantapur
Kurnool_V000193,N. Issac,Kurnool
Kurnool_V000194,Seshaiah,Kurnool
Kurnool_V000195,Somappa,Kurnool
Kurnool_V000196,K. Vijaya Bhaskara Reddy,Kurnool
Nandyal_V000197,Lakka Devanandam,Nandyal
Nandyal_V000198,Pendakanti Venkata Subbaiah,Nandyal
Nandyal_V000199,Neelam Sanjeeva Reddy,Nandyal
Nagarkurnool_V000200,Puttapaga Padhakrishna,Nagarkurnool
Nagarkurnool_V000201,Mailala Bheeshma Dev,Nagarkurnool
Mahabubnagar_V000202,M. Sudarshan Reddy,Mahabubnagar
Mahabubnagar_V000203,D. K. Satya Reddy,Mahabubnagar
Mahabubnagar_V000204,J. Rameshwara Rao,Mahabubnagar
Hyderabad_V000205,Gummakonda Srinivasa Reddy,Hyderabad
Hyderabad_V000206,Raja Ram Shastry,Hyderabad
Hyderabad_V000207,Mir Ahmed Ali Khan,Hyderabad
Hyderabad_V000208,Sultan Salahuddin Owaisi,Hyderabad
Hyderabad_V000209,K. S. Narayana,Hyderabad
Secunderabad_V000210,B. G. Keskar,Secunderabad
Secunderabad_V000211,M. Sojee,Secunderabad
Secunderabad_V000212,Y. Rajendra Babu,Secunderabad
Secunderabad_V000213,K. Joseph Reddy,Secunderabad
Secunderabad_V000214,D. V. S. S. Murthy,Secunderabad
Secunderabad_V000215,T. Laxmi Kantamma,Secunderabad
Secunderabad_V000216,M. M. Hashim,Secunderabad
Siddipet_V000217,T.N. Sadalakshmi,Siddipet
Siddipet_V000218,G.Venkataswamy,Siddipet
Medak_V000219,Siripuram Lakshmikantha Rao,Medak
Medak_V000220,Mirza Jamil Ahmed Baig,Medak
Medak_V000221,Radhey Shyam,Medak
Medak_V000222,Shankeraiah,Medak
Medak_V000223,Narasimba Reddy,Medak
Medak_V000224,Mallikarjun,Medak
Nizamabad_V000225,B. Rama Krishna Rao,Nizamabad
Nizamabad_V000226,Samala Vithal Reddy,Nizamabad
Nizamabad_V000227,Gangareddy,Nizamabad
Nizamabad_V000228,Mudaganti Ram Gopal Reddy,Nizamabad
Adilabad_V000229,Thakur Mukteshwar Singh,Adilabad
Adilabad_V000230,Gopidi Ganga Reddy,Adilabad
Adilabad_V000231,G. Narsimha Reddy,Adilabad
Peddapalli_V000232,G. Venkataiah,Peddapalli
Peddapalli_V000233,Ande Bhanumurthy,Peddapalli
Peddapalli_V000234,Bangaru Lakshman,Peddapalli
Peddapalli_V000235,V. Tulsiram,Peddapalli
Karimnagar_V000236,Aleti Raja Prabhakar Reddy,Karimnagar
Karimnagar_V000237,Chennamaneni Rajeswara Rao,Karimnagar
Karimnagar_V000238,Juvvadi Gautma Rao,Karimnagar
Karimnagar_V000239,M. Satyanarayan Rao,Karimnagar
Hanamkonda_V000240,Chakkilla Satyanarayana,Hanamkonda
Hanamkonda_V000241,P. Janardhan Reddy,Hanamkonda
Hanamkonda_V000242,P. V. Narsimha Rao,Hanamkonda
Warangal_V000243,Prabhakar Rao,Warangal
Warangal_V000244,Jangareddy Chandabatla,Warangal
Warangal_V000245,S. B. Giri,Warangal
Khammam_V000246,K. I. Vidya Sagar,Khammam
Khammam_V000247,Nallamala Prasada Rao,Khammam
Khammam_V000248,Yalamanchili Radha Krushna Murthy,Khammam
Khammam_V000249,Jalagam Kondala Rao,Khammam
Nalgonda_V000250,Dharma Bhiksham Bommagani,Nalgonda
Nalgonda_V000251,Marepalli Jagan Mohan Reddy,Nalgonda
Nalgonda_V000252,Mohd. Abdul Lateef,Nalgonda
Miryalguda_V000253,Mogili Pullaiah,Miryalguda
Miryalguda_V000254,Katkuri Ramachandra Reddy,Miryalguda
Miryalguda_V000255,Bhimireddi Narasimha Reddy,Miryalguda
Miryalguda_V000256,G. S. Reddy,Miryalguda
Srikakulam_V000257,Venkataramana Chodi Pilli,Srikakulam
Srikakulam_V000258,Bompalli Ramanna,Srikakulam
Srikakulam_V000259,Majji Sriramulu,Srikakulam
Srikakulam_V000260,Metta Jaggu Bhatlu,Srikakulam
Srikakulam_V000261,Majji Narayana Rao,Srikakulam
Srikakulam_V000262,Gouthu Latchanna,Srikakulam
Srikakulam_V000263,Rajagopalarao Boddepalli,Srikakulam
Parvathipuram_V000264,Arika Gumpaswamy,Parvathipuram
Parvathipuram_V000265,Narsimha Rao Viswasrai,Parvathipuram
Parvathipuram_V000266,K.C.Suryanarayana Deo Vyricherla,Parvathipuram
Bobbili_V000267,Apparao Gudivada,Bobbili
Bobbili_V000268,Ramabhadraraju Pakalapati,Bobbili
Bobbili_V000269,Gottapu Appalanaidu,Bobbili
Bobbili_V000270,Yalla Sesibhushana Rao,Bobbili
Bobbili_V000271,Gedela Prasada Rao,Bobbili
Bobbili_V000272,P.V.Gajapathi Raju,Bobbili
Visakhapatnam_V000273,Bonu Lakshamana Rao,Visakhapatnam
Visakhapatnam_V000274,Nidadavolu Ramakrishna Raju,Visakhapatnam
Visakhapatnam_V000275,Bhattam Srirama Murthy,Visakhapatnam
Visakhapatnam_V000276,Appalaswamy Kommuru,Visakhapatnam
Bhadrachalam_V000277,Alam Lakshmaiah,Bhadrachalam
Bhadrachalam_V000278,K.P.Shanti Raju,Bhadrachalam
Bhadrachalam_V000279,Karam Bappanna Dora,Bhadrachalam
Bhadrachalam_V000280,Ratnabai Tadapatla,Bhadrachalam
Bhadrachalam_V000281,Karam Chandraiah,Bhadrachalam
Bhadrachalam_V000282,B.Radhabai Ananda Rao,Bhadrachalam
Anakapalli_V000283,Madana Veeranna,Anakapalli
Anakapalli_V000284,Sri Bala Siva Yagi,Anakapalli
Anakapalli_V000285,Samala Chinnayya Dora,Anakapalli
Anakapalli_V000286,K.V.Ramesam,Anakapalli
Anakapalli_V000287,Salla Chinthalli,Anakapalli
Anakapalli_V000288,D.C.Raju,Anakapalli
Anakapalli_V000289,Pulibanti Pedakotipalli,Anakapalli
Anakapalli_V000290,Koyilada Nuka Raju,Anakapalli
Anakapalli_V000291,Peri Srirama Murthy,Anakapalli
Anakapalli_V000292,Anand Gajapathi Raju Pusapati,Anakapalli
Anakapalli_V000293,Appala Naidu S.R.A.S,Anakapalli
Kakinada_V000294,Mohammed Ahmed Ali,Kakinada
Kakinada_V000295,Gurram Kameswa Rao,Kakinada
Kakinada_V000296,Chinta Subba Rao,Kakinada
Kakinada_V000297,Seetharamaraju Saripella,Kakinada
Kakinada_V000298,Bedampudi Satteyya,Kakinada
Kakinada_V000299,Appari Ummamaheswara Rao,Kakinada
Kakinada_V000300,Bandili Moses,Kakinada
Kakinada_V000301,Mulasa Suryanarayana,Kakinada
Kakinada_V000302,Vaddi Mutyala Rao,Kakinada
Kakinada_V000303,Sanjeevi Rao M.S.,Kakinada
Rajahmundry_V000304,Pentaial Seeli,Rajahmundry
Rajahmundry_V000305,Putchala Chinnaial,Rajahmundry
Rajahmundry_V000306,M.S.Ch. Pattiabhi Rama Rao,Rajahmundry
Rajahmundry_V000307,Katamraju Varrey,Rajahmundry
Rajahmundry_V000308,Chinta Subba Rao,Rajahmundry
Rajahmundry_V000309,Chandramalla Raju,Rajahmundry
Rajahmundry_V000310,Kantipudi Rama Rao,Rajahmundry
Rajahmundry_V000311,Gadam Kamaladevi,Rajahmundry
Rajahmundry_V000312,S.B.P.Pattabhi Rama Rao,Rajahmundry
Amalapuram_V000313,Janga Srinivasa Rao,Amalapuram
Amalapuram_V000314,Bonthu Venkateswara Rao,Amalapuram
Amalapuram_V000315,Iswari Bai,Amalapuram
Amalapuram_V000316,Kusuma Krishnamurthi,Amalapuram
Narasapur_V000317,Maddala Veeraswamy,Narasapur
Narasapur_V000318,Dosa Venkataramana Rao,Narasapur
Narasapur_V000319,Gudimetla Verahala Reddy,Narasapur
Narasapur_V000320,Uddaraju Ramam,Narasapur
Narasapur_V000321,Alluri Subhaschandra Bose,Narasapur
Eluru_V000322,Vase Rama Rao,Eluru
Eluru_V000323,Mohd. Sheriff,Eluru
Eluru_V000324,M.Krishnamohana Rao Thammareddy,Eluru
Eluru_V000325,Chakka Sreeramulu,Eluru
Eluru_V000326,Payyati Venkateshwara Vaidya,Eluru
Eluru_V000327,Krishnamurthy Yeeranki,Eluru
Eluru_V000328,Kaparde M.V.N.,Eluru
Eluru_V000329,K.Suryanarayana,Eluru
Eluru_V000330,Chittoori Subbarao Chowdary,Eluru
Machilipatnam_V000331,Venkataswamy Koonati,Machilipatnam
Machilipatnam_V000332,Nutakki Ramabrahmam,Machilipatnam
Machilipatnam_V000333,K.Durgaprasad Parimkayala,Machilipatnam
Machilipatnam_V000334,Buragadda Niranjana Rao,Machilipatnam
Machilipatnam_V000335,Ankineedu Maganti,Machilipatnam
Vijayawada_V000336,C.Purnachandra Rao,Vijayawada
Vijayawada_V000337,Velamarthi Sikhamani,Vijayawada
Vijayawada_V000338,Alasapuri Rajaiah,Vijayawada
Vijayawada_V000339,Dasari Nagabhushana Rao,Vijayawada
Vijayawada_V000340,K.L.Rao,Vijayawada
Vijayawada_V000341,Vidya Chennupati,Vijayawada
Tenali_V000342,Ballarapu Raja Rao,Tenali
Tenali_V000343,Choppara Sadhu,Tenali
Tenali_V000344,Kamuru Koti Reddy,Tenali
Tenali_V000345,Adams Kondamudi,Tenali
Tenali_V000346,Lavu Balagangadhara Rao,Tenali
Tenali_V000347,Meduri Nageswara Rao,Tenali
Guntur_V000348,Velaga Ankamma Rao,Guntur
Guntur_V000349,D. Satyanarayana Murthy,Guntur
Guntur_V000350,Venkatareddy Kolli,Guntur
Guntur_V000351,G. Krishna Kumari,Guntur
Guntur_V000352,K. Sadasiva Rao,Guntur
Guntur_V000353,N. G. Ranga,Guntur
Bapatla_V000354,Dattatreya Konuri Kannaiah,Bapatla
Bapatla_V000355,Sesha Bramhachari Ravuri,Bapatla
Bapatla_V000356,Kalva Varadarajulu,Bapatla
Bapatla_V000357,Pragada Kotaiah,Bapatla
Bapatla_V000358,Sambaiah Pallaprolu,Bapatla
Bapatla_V000359,Ankineedu Prasada Rao Pamulapati,Bapatla
Narasaraopet_V000360,Bethapudi Prasada Rao,Narasaraopet
Narasaraopet_V000361,Sura Subbarayudu,Narasaraopet
Narasaraopet_V000362,Pattan Mahbub Khan,Narasaraopet
Narasaraopet_V000363,T.K. Kothanda Ram,Narasaraopet
Narasaraopet_V000364,P.Satyanarayana Sastry,Narasaraopet
Narasaraopet_V000365,Pagadala Adinarayana,Narasaraopet
Narasaraopet_V000366,Dattatrey Konuri Kannayya,Narasaraopet
Narasaraopet_V000367,V.Sankar Giri,Narasaraopet
Narasaraopet_V000368,Popuri Brahmanandam,Narasaraopet
Narasaraopet_V000369,K. Bramhananda Reddy,Narasaraopet
Ongole_V000370,Venkateswara Rao Thanneeru,Ongole
Ongole_V000371,A. V. K. Chaitanya,Ongole
Ongole_V000372,A.Bhakthavastala Reddy,Ongole
Ongole_V000373,Venkata Reddi Puli,Ongole
Nellore_V000374,Mathangi Shyamasundara Raju,Nellore
Nellore_V000375,D. Narasimhulu,Nellore
Nellore_V000376,Indurupalli Ramanaiah,Nellore
Nellore_V000377,T. P. Bhanu Raju,Nellore
Nellore_V000378,D. Kamakshaiah,Nellore
Tirupathi_V000379,M. Subbaramaiah,Tirupathi
Tirupathi_V000380,T. Veeraraghavulu,Tirupathi
Tirupathi_V000381,Munaswamy,Tirupathi
Tirupathi_V000382,Jayaramaiah Mallarapu,Tirupathi
Tirupathi_V000383,Balakrishnaiah Tambura,Tirupathi
Tirupathi_V000384,Pasala Penchalaiah,Tirupathi
Chittoor_V000385,Thimmareddi Peddireddy,Chittoor
Chittoor_V000386,N. P. Chengalraya Nayudu,Chittoor
Chittoor_V000387,P. Rajagopal Naidu,Chittoor
Rajampet_V000388,Kotla Gopalaiah,Rajampet
Rajampet_V000389,P. L. Narayana,Rajampet
Rajampet_V000390,T. Kothanna,Rajampet
Rajampet_V000391,S. Nagaseshagiri Rao,Rajampet
Rajampet_V000392,K. Sadavala Subbanna,Rajampet
Rajampet_V000393,K. Ramachandra Reddy,Rajampet
Rajampet_V000394,M. Venkataramana,Rajampet
Rajampet_V000395,Rathnasabapathy Bandaru,Rajampet
Rajampet_V000396,P. Parthasarathy,Rajampet
Cuddapah_V000397,M. Venkataramana,Cuddapah
Cuddapah_V000398,Chidella Krishnaiah,Cuddapah
Cuddapah_V000399,Nadendla Baba Saheb,Cuddapah
Cuddapah_V000400,Matcha Chinna Narayana,Cuddapah
Cuddapah_V000401,P. Raghunatha Reddy,Cuddapah
Cuddapah_V000402,P. V. S. Murthy,Cuddapah
Cuddapah_V000403,K. Obul Reddy,Cuddapah
Hindupur_V000404,T. Venkataswamy,Hindupur
Hindupur_V000405,V. V. N. Achar,Hindupur
Hindupur_V000406,G. R. Ranganadhaiah,Hindupur
Hindupur_V000407,T. Narasaiah,Hindupur
Hindupur_V000408,K. Rama Chandra Reddi,Hindupur
Hindupur_V000409,P. Bayapa Reddy,Hindupur
Anantapur_V000410,Y. Narrayana Reddy,Anantapur
Anantapur_V000411,N. Rajasekhara Reddy,Anantapur
Anantapur_V000412,D. Narayanaswmy,Anantapur
Anantapur_V000413,Darur Pullaiah,Anantapur
Kurnool_V000414,M. Abbas Ali,Kurnool
Kurnool_V000415,Issac N.,Kurnool
Kurnool_V000416,K. Neelakanta Reddy,Kurnool
Kurnool_V000417,Ghulam Hussain,Kurnool
Kurnool_V000418,P. Mallikarjuna Sastri,Kurnool
Kurnool_V000419,K. Venkata Swamy,Kurnool
Kurnool_V000420,Nasir Ahmed,Kurnool
Kurnool_V000421,K. Vijayabhaskara Reddi,Kurnool
Nandyal_V000422,A. Sultan Mohiddin,Nandyal
Nandyal_V000423,S. Pedda Sankara Reddy,Nandyal
Nandyal_V000424,N. Venkata Subbaiah,Nandyal
Nandyal_V000425,Pentrala Subba Rao,Nandyal
