pc_name,cand_name,partyname,totvotpoll,electors
Andaman & Nicobar Islands,Shri Tapan Kumar Bepari,Communist Party Of India (Marxist),7190.0,265110.0
Andaman & Nicobar Islands,Shri. Kuldeep Rai Sharma,Indian National Congress,72221.0,265110.0
Andaman & Nicobar Islands,Shri. Bishnu Pada Ray,Bharatiya Janata Party,75211.0,265110.0
Andaman & Nicobar Islands,A Pandian,AIFB,225.0,269360.0
Andaman & Nicobar Islands,N Kannan,IND,314.0,269360.0
Andaman & Nicobar Islands,C G Saji Kumar,IND,334.0,269360.0
Andaman & Nicobar Islands,Raghubir Singh,SP,379.0,269360.0
Andaman & Nicobar Islands,V V Khalid,IND,429.0,269360.0
Andaman & Nicobar Islands,N K P Nair,CPI(ML)(L),436.0,269360.0
Andaman & Nicobar Islands,Saravanan,IND,847.0,269360.0
Andaman & Nicobar Islands,Gour Chandra Majumder,BSP,1139.0,269360.0
Andaman & Nicobar Islands,R.S.Uma Bharatthy,NCP,1151.0,269360.0
Andaman & Nicobar Islands,None Of The Above,NOTA,1564.0,269360.0
Andaman & Nicobar Islands,Prakash Minj,IND,1587.0,269360.0
Andaman & Nicobar Islands,K.G.Das,CPM,1777.0,269360.0
Andaman & Nicobar Islands,Anita Mondal,AITC,2283.0,269360.0
Andaman & Nicobar Islands,Sanjay Meshack,AAAP,3737.0,269360.0
Andaman & Nicobar Islands,Kuldeep Rai Sharma,INC,83157.0,269360.0
Andaman & Nicobar Islands,Bishnu Pada Ray,BJP,90969.0,269360.0
Srikakulam,Bompalli Ramanna,Independents,15435.0,585062.0
Srikakulam,Gouthu Latchanna,Bharatiya Lok Dal,178391.0,585062.0
Srikakulam,Rajgopalarao Boddepalli,Indian National Congress,187125.0,585062.0
Parvathipuram,Satya Prasad Thatraj Veeravara Thodarmal,Bharatiya Lok Dal,142710.0,655999.0
Parvathipuram,Vyrichorla Kishore Chandra Suryanarayana Deo,Indian National Congress,174454.0,655999.0
Bobbili,Appalanaidu Gottapu,Independents,2497.0,635653.0
Bobbili,U. L. N. Raju,Independents,5070.0,635653.0
Bobbili,Ramulu Botsa,Independents,7386.0,635653.0
Bobbili,Apparao Gudivada,Independents,9126.0,635653.0
Bobbili,Penta Ramaswamy,Independents,15911.0,635653.0
Bobbili,Peesapati Pundarikaksha Chari,Bharatiya Lok Dal,119507.0,635653.0
Bobbili,Pusapati Vijayrama Gajapathi Raju,Indian National Congress,171095.0,635653.0
Visakhapatnam,Surendranath Kandala,Independents,2528.0,626272.0
Visakhapatnam,M. V. Bhadram,Communist Party Of India,33564.0,626272.0
Visakhapatnam,Tenneti Viswanathan,Bharatiya Lok Dal,128828.0,626272.0
Visakhapatnam,Dronamraju Satyanarayana,Indian National Congress,171657.0,626272.0
Bhadrachalam,Tellam Sundara Rao,Independents,2139.0,598925.0
Bhadrachalam,Karam Baapanna Dora,Independents,3999.0,598925.0
Bhadrachalam,Suraboina Suvarna Kumar,Independents,10528.0,598925.0
Bhadrachalam,Sode Ramaiah,Communist Party Of India,27966.0,598925.0
Bhadrachalam,P. Vani Ramanarao,Bharatiya Lok Dal,59230.0,598925.0
Bhadrachalam,Radha Bai Ananda Rao,Indian National Congress,155198.0,598925.0
Anakapalli,Bonu Lakshmanarao,Independents,4359.0,708066.0
Anakapalli,Chalapathi Rao P. V.,Bharatiya Lok Dal,163292.0,708066.0
Anakapalli,Appalanaidu S. R. A. S.,Indian National Congress,199228.0,708066.0
Kakinada,Chintapalli Apparao,Independents,3170.0,656501.0
Kakinada,Dadala Ramanayya,Independents,5557.0,656501.0
Kakinada,Chinta Subbarao,Independents,11151.0,656501.0
Kakinada,Vaddi Mutyalarao,Bharatiya Lok Dal,145749.0,656501.0
Kakinada,Sanjeevirao M. S.,Indian National Congress,269017.0,656501.0
Rajahmundry,Dadala Ramanayya,Independents,1761.0,707836.0
Rajahmundry,Vemavarapu Samuel,Independents,2833.0,707836.0
Rajahmundry,Padmaraju Varrey,Independents,6157.0,707836.0
Rajahmundry,Manthena Venkata Surya Subbaraju,Bharatiya Lok Dal,175564.0,707836.0
Rajahmundry,Pattabhirama Rao S. B. P.,Indian National Congress,292323.0,707836.0
Amalapuram,Mohanarao Kanety,Independents,12534.0,639473.0
Amalapuram,B. V. Ramanayya,Bharatiya Lok Dal,135993.0,639473.0
Amalapuram,Kusuma Krishna Murty,Indian National Congress,271982.0,639473.0
Narasapur,Vedantam Venkata Subba Rao,Independents,2344.0,670999.0
Narasapur,Vegesna Bangarraju,Independents,2401.0,670999.0
Narasapur,Ganta Arunakumar,Republician Party Of India (Khobragade),15189.0,670999.0
Narasapur,Satyanarayana Vanka,Communist Party Of India,42358.0,670999.0
Narasapur,Uddaraju Ramam,Communist Party Of India (Marxist),142162.0,670999.0
Narasapur,Alluri Subhash Chandra Bose,Indian National Congress,256519.0,670999.0
Eluru,Banda Surya Narayana,Independents,1507.0,669778.0
Eluru,Tamminaidu Raajaani ( Sivudu Naidu ),Independents,8217.0,669778.0
Eluru,Krishna Murthy Garapati,Bharatiya Lok Dal,156377.0,669778.0
Eluru,Kommareddy Suryanarayana,Indian National Congress,290410.0,669778.0
Machilipatnam,Kakarla Babu Rao,Independents,8615.0,642258.0
Machilipatnam,Vadde Sobhanadreswara Rao,Bharatiya Lok Dal,185622.0,642258.0
Machilipatnam,Ankineedu Maganti,Indian National Congress,262551.0,642258.0
Vijayawada,Christu Bhagwandas Netela,Independents,977.0,646465.0
Vijayawada,Krovvidy Suryaprakasarao,Independents,3394.0,646465.0
Vijayawada,Nanduri Prasada Rao,Communist Party Of India (Marxist),37583.0,646465.0
Vijayawada,Desari Nagabhushana Rao,Communist Party Of India,52786.0,646465.0
Vijayawada,Gottipati Murali Mohan,Bharatiya Lok Dal,119696.0,646465.0
Vijayawada,Godey Murahari,Indian National Congress,239733.0,646465.0
Tenali,K. R. Sarma Alias Kuchibhatala Ramalingeswara Sarma,Independents,2121.0,659608.0
Tenali,Avula Sambasiva Rao,Independents,5005.0,659608.0
Tenali,Gunturu Bapanaiah,Communist Party Of India (Marxist),187191.0,659608.0
Tenali,Meduri Nageswara Rao,Indian National Congress,244928.0,659608.0
Guntur,Babu Rajendra Prasad Pulla,Independents,1392.0,790342.0
Guntur,Pandaraboina Sambasiva Rao Yadav,Independents,2072.0,790342.0
Guntur,Desu Anjaneyulu,Independents,3205.0,790342.0
Guntur,Balabhadradrapathruni Srinadha Rao,Independents,3622.0,790342.0
Guntur,Kasaraneini Sadasiva Rao,Bharatiya Lok Dal,205385.0,790342.0
Guntur,Kotha Raghuramaiah,Indian National Congress,290914.0,790342.0
Bapatla,Doppalapudi Suba Rao,Independents,6791.0,688651.0
Bapatla,Jagarlamudi Chandramouli,Bharatiya Lok Dal,210492.0,688651.0
Bapatla,Ankineedu Prasada Rao Pamulapati,Indian National Congress,253438.0,688651.0
Narasaraopet,Sabbasani Malla Reddy,Independents,3743.0,750248.0
Narasaraopet,Yakub Baig,Independents,6413.0,750248.0
Narasaraopet,Puthota Showraiah,Independents,9250.0,750248.0
Narasaraopet,Illuri Kotireddy,Bharatiya Lok Dal,158075.0,750248.0
Narasaraopet,Brahmananda Reddy Kasu,Indian National Congress,246146.0,750248.0
Ongole,Gujjala Yallamanda Reddy,Communist Party Of India,35551.0,741462.0
Ongole,Muppavarapu Venkaiah Alias Venkaiah Naidu,Bharatiya Lok Dal,162881.0,741462.0
Ongole,Puli Venkata Reddy,Indian National Congress,252206.0,741462.0
Nellore,Indurupalli Ramanaih,Independents,9942.0,752778.0
Nellore,Prappancha Bhanuraju Thummalagunta,Communist Party Of India (Marxist),129404.0,752778.0
Nellore,Kamakshaiah Doddavarapu,Indian National Congress,272184.0,752778.0
Tirupathi,Allam Krishnaiah,Bharatiya Lok Dal,200214.0,696337.0
Tirupathi,Balakrishnaiah Tambura,Indian National Congress,240394.0,696337.0
Chittoor,P. M. Errappa Naidu,Independents,2942.0,699218.0
Chittoor,Yellarubylu Rami Reddy,Independents,7706.0,699218.0
Chittoor,N. P. Changalraya Naidu,Bharatiya Lok Dal,218805.0,699218.0
Chittoor,P. Rajagopal Naidu,Indian National Congress,229252.0,699218.0
Rajampet,Devalappalli Venkata Subbareddy,Independents,5272.0,666802.0
Rajampet,Sangaraju Seshagiri Rao,Independents,10034.0,666802.0
Rajampet,P. Thimma Reddy,Bharatiya Lok Dal,179293.0,666802.0
Rajampet,Pothuraju Parthasarathi,Indian National Congress,233844.0,666802.0
Cuddapah,Polanki Venkata Subbaiah,Independents,2827.0,698750.0
Cuddapah,Y. Eswara Reddy,Communist Party Of India,15794.0,698750.0
Cuddapah,Vutukuru Rami Reddy,Bharatiya Lok Dal,224789.0,698750.0
Cuddapah,Kandala Obul Reddy,Indian National Congress,232351.0,698750.0
Hindupur,A. Venkata Narayana Reddy,Independents,1014.0,650347.0
Hindupur,P. Narayana,Independents,5153.0,650347.0
Hindupur,K. Ramachandra Reddy,Bharatiya Lok Dal,146764.0,650347.0
Hindupur,P. Bayapa Reddy,Indian National Congress,236797.0,650347.0
Anantapur,D. Narayanaswamy,Bharatiya Lok Dal,173071.0,640440.0
Anantapur,Darur Pullaiah,Indian National Congress,215279.0,640440.0
Kurnool,N. Issac,Independents,2355.0,722409.0
Kurnool,Seshaiah,Independents,13221.0,722409.0
Kurnool,Somappa,Bharatiya Lok Dal,71385.0,722409.0
Kurnool,K. Vijaya Bhaskara Reddy,Indian National Congress,270741.0,722409.0
Nandyal,Lakka Devanandam,Independents,4774.0,675340.0
Nandyal,Pendakanti Venkata Subbaiah,Indian National Congress,222404.0,675340.0
Nandyal,Neelam Sanjeeva Reddy,Bharatiya Lok Dal,258147.0,675340.0
Nagarkurnool,Puttapaga Padhakrishna,Bharatiya Lok Dal,115625.0,643692.0
Nagarkurnool,Mailala Bheeshma Dev,Indian National Congress,238388.0,643692.0
Mahabubnagar,M. Sudarshan Reddy,Independents,5276.0,698700.0
Mahabubnagar,D. K. Satya Reddy,Bharatiya Lok Dal,121966.0,698700.0
Mahabubnagar,J. Rameshwara Rao,Indian National Congress,216455.0,698700.0
Hyderabad,Gummakonda Srinivasa Reddy,Independents,2424.0,586201.0
Hyderabad,Raja Ram Shastry,Akhil Bharati Ramrajya Parishad,3138.0,586201.0
Hyderabad,Mir Ahmed Ali Khan,Bharatiya Lok Dal,86689.0,586201.0
Hyderabad,Sultan Salahuddin Owaisi,Independents,91227.0,586201.0
Hyderabad,K. S. Narayana,Indian National Congress,156295.0,586201.0
Secunderabad,B. G. Keskar,Akhil Bharat Hindu Mahasabha,664.0,615045.0
Secunderabad,M. Sojee,Independents,1413.0,615045.0
Secunderabad,Y. Rajendra Babu,Independents,2917.0,615045.0
Secunderabad,K. Joseph Reddy,Independents,3287.0,615045.0
Secunderabad,D. V. S. S. Murthy,Independents,4638.0,615045.0
Secunderabad,T. Laxmi Kantamma,Bharatiya Lok Dal,156383.0,615045.0
Secunderabad,M. M. Hashim,Indian National Congress,160230.0,615045.0
Siddipet,T.N. Sadalakshmi,Bharatiya Lok Dal,129507.0,616118.0
Siddipet,G.Venkataswamy,Indian National Congress,232377.0,616118.0
Medak,Siripuram Lakshmikantha Rao,Independents,637.0,635388.0
Medak,Mirza Jamil Ahmed Baig,Independents,4006.0,635388.0
Medak,Radhey Shyam,Independents,5532.0,635388.0
Medak,Shankeraiah,Independents,11630.0,635388.0
Medak,Narasimba Reddy,Bharatiya Lok Dal,96303.0,635388.0
Medak,Mallikarjun,Indian National Congress,239813.0,635388.0
Nizamabad,B. Rama Krishna Rao,Independents,5788.0,568014.0
Nizamabad,Samala Vithal Reddy,Independents,6051.0,568014.0
Nizamabad,Gangareddy,Bharatiya Lok Dal,92898.0,568014.0
Nizamabad,Mudaganti Ram Gopal Reddy,Indian National Congress,252291.0,568014.0
Adilabad,Thakur Mukteshwar Singh,Independents,27652.0,548091.0
Adilabad,Gopidi Ganga Reddy,Bharatiya Lok Dal,96244.0,548091.0
Adilabad,G. Narsimha Reddy,Indian National Congress,167410.0,548091.0
Peddapalli,G. Venkataiah,Independents,2990.0,638114.0
Peddapalli,Ande Bhanumurthy,Independents,3581.0,638114.0
Peddapalli,Bangaru Lakshman,Bharatiya Lok Dal,104110.0,638114.0
Peddapalli,V. Tulsiram,Indian National Congress,209187.0,638114.0
Karimnagar,Aleti Raja Prabhakar Reddy,Independents,6827.0,650519.0
Karimnagar,Chennamaneni Rajeswara Rao,Communist Party Of India,44055.0,650519.0
Karimnagar,Juvvadi Gautma Rao,Bharatiya Lok Dal,96301.0,650519.0
Karimnagar,M. Satyanarayan Rao,Indian National Congress,210349.0,650519.0
Hanamkonda,Chakkilla Satyanarayana,Independents,4881.0,615143.0
Hanamkonda,P. Janardhan Reddy,Bharatiya Lok Dal,153910.0,615143.0
Hanamkonda,P. V. Narsimha Rao,Indian National Congress,231593.0,615143.0
Warangal,Prabhakar Rao,Independents,3787.0,581239.0
Warangal,Jangareddy Chandabatla,Bharatiya Lok Dal,128589.0,581239.0
Warangal,S. B. Giri,Indian National Congress,251211.0,581239.0
Khammam,K. I. Vidya Sagar,Independents,2868.0,596499.0
Khammam,Nallamala Prasada Rao,Communist Party Of India,72530.0,596499.0
Khammam,Yalamanchili Radha Krushna Murthy,Communist Party Of India (Marxist),122628.0,596499.0
Khammam,Jalagam Kondala Rao,Indian National Congress,208617.0,596499.0
Nalgonda,Dharma Bhiksham Bommagani,Communist Party Of India,80632.0,631059.0
Nalgonda,Marepalli Jagan Mohan Reddy,Bharatiya Lok Dal,101858.0,631059.0
Nalgonda,Mohd. Abdul Lateef,Indian National Congress,208892.0,631059.0
Miryalguda,Mogili Pullaiah,Independents,14156.0,667777.0
Miryalguda,Katkuri Ramachandra Reddy,Communist Party Of India,40808.0,667777.0
Miryalguda,Bhimireddi Narasimha Reddy,Communist Party Of India (Marxist),167751.0,667777.0
Miryalguda,G. S. Reddy,Indian National Congress,217430.0,667777.0
Srikakulam,Venkataramana Chodi Pilli,Independents,3242.0,647603.0
Srikakulam,Bompalli Ramanna,Independents,5042.0,647603.0
Srikakulam,Majji Sriramulu,Independents,12619.0,647603.0
Srikakulam,Metta Jaggu Bhatlu,Independents,20275.0,647603.0
Srikakulam,Majji Narayana Rao,Janta Party,43205.0,647603.0
Srikakulam,Gouthu Latchanna,Janta Party (Secular),118347.0,647603.0
Srikakulam,Rajagopalarao Boddepalli,Indian Natioanl Congress (I),197336.0,647603.0
Parvathipuram,Arika Gumpaswamy,Independents,21652.0,619702.0
Parvathipuram,Narsimha Rao Viswasrai,Indian Natioanl Congress (I),158379.0,619702.0
Parvathipuram,K.C.Suryanarayana Deo Vyricherla,Indian National Congress (U),173179.0,619702.0
Bobbili,Apparao Gudivada,Independents,4320.0,651967.0
Bobbili,Ramabhadraraju Pakalapati,Independents,6051.0,651967.0
Bobbili,Gottapu Appalanaidu,Independents,8431.0,651967.0
Bobbili,Yalla Sesibhushana Rao,Janta Party (Secular),35021.0,651967.0
Bobbili,Gedela Prasada Rao,Janta Party,51037.0,651967.0
Bobbili,P.V.Gajapathi Raju,Indian Natioanl Congress (I),189163.0,651967.0
Visakhapatnam,Bonu Lakshamana Rao,Independents,14438.0,723703.0
Visakhapatnam,Nidadavolu Ramakrishna Raju,Independents,16072.0,723703.0
Visakhapatnam,Bhattam Srirama Murthy,Indian National Congress (U),171946.0,723703.0
Visakhapatnam,Appalaswamy Kommuru,Indian Natioanl Congress (I),206581.0,723703.0
Bhadrachalam,Alam Lakshmaiah,Independents,5732.0,669348.0
Bhadrachalam,K.P.Shanti Raju,Independents,7212.0,669348.0
Bhadrachalam,Karam Bappanna Dora,Independents,10090.0,669348.0
Bhadrachalam,Ratnabai Tadapatla,Janta Party,26760.0,669348.0
Bhadrachalam,Karam Chandraiah,Communist Party Of India,79208.0,669348.0
Bhadrachalam,B.Radhabai Ananda Rao,Indian Natioanl Congress (I),147534.0,669348.0
Anakapalli,Madana Veeranna,Independents,3119.0,702428.0
Anakapalli,Sri Bala Siva Yagi,Independents,3239.0,702428.0
Anakapalli,Samala Chinnayya Dora,Independents,3461.0,702428.0
Anakapalli,K.V.Ramesam,Independents,5140.0,702428.0
Anakapalli,Salla Chinthalli,Independents,5751.0,702428.0
Anakapalli,D.C.Raju,Independents,6088.0,702428.0
Anakapalli,Pulibanti Pedakotipalli,Independents,7532.0,702428.0
Anakapalli,Koyilada Nuka Raju,Independents,7535.0,702428.0
Anakapalli,Peri Srirama Murthy,Independents,10849.0,702428.0
Anakapalli,Anand Gajapathi Raju Pusapati,Janta Party (Secular),149016.0,702428.0
Anakapalli,Appala Naidu S.R.A.S,Indian Natioanl Congress (I),178139.0,702428.0
Kakinada,Mohammed Ahmed Ali,Independents,1263.0,741257.0
Kakinada,Gurram Kameswa Rao,Independents,3459.0,741257.0
Kakinada,Chinta Subba Rao,Independents,3859.0,741257.0
Kakinada,Seetharamaraju Saripella,Independents,4478.0,741257.0
Kakinada,Bedampudi Satteyya,Independents,4496.0,741257.0
Kakinada,Appari Ummamaheswara Rao,Independents,4913.0,741257.0
Kakinada,Bandili Moses,Independents,11568.0,741257.0
Kakinada,Mulasa Suryanarayana,Janta Party (Secular),35353.0,741257.0
Kakinada,Vaddi Mutyala Rao,Janta Party,79924.0,741257.0
Kakinada,Sanjeevi Rao M.S.,Indian Natioanl Congress (I),242901.0,741257.0
Rajahmundry,Pentaial Seeli,Independents,922.0,756814.0
Rajahmundry,Putchala Chinnaial,Independents,2003.0,756814.0
Rajahmundry,M.S.Ch. Pattiabhi Rama Rao,Independents,2177.0,756814.0
Rajahmundry,Katamraju Varrey,Independents,5099.0,756814.0
Rajahmundry,Chinta Subba Rao,Independents,8707.0,756814.0
Rajahmundry,Chandramalla Raju,Independents,10043.0,756814.0
Rajahmundry,Kantipudi Rama Rao,Janta Party,59704.0,756814.0
Rajahmundry,Gadam Kamaladevi,Indian National Congress (U),130886.0,756814.0
Rajahmundry,S.B.P.Pattabhi Rama Rao,Indian Natioanl Congress (I),249377.0,756814.0
Amalapuram,Janga Srinivasa Rao,Independents,8156.0,668727.0
Amalapuram,Bonthu Venkateswara Rao,Indian National Congress (U),20725.0,668727.0
Amalapuram,Iswari Bai,Janta Party,123193.0,668727.0
Amalapuram,Kusuma Krishnamurthi,Indian Natioanl Congress (I),244283.0,668727.0
Narasapur,Maddala Veeraswamy,Independents,2781.0,721681.0
Narasapur,Dosa Venkataramana Rao,Independents,3930.0,721681.0
Narasapur,Gudimetla Verahala Reddy,Janta Party,49062.0,721681.0
Narasapur,Uddaraju Ramam,Communist Party Of India (Marxist),114156.0,721681.0
Narasapur,Alluri Subhaschandra Bose,Indian Natioanl Congress (I),272124.0,721681.0
Eluru,Vase Rama Rao,Independents,812.0,732089.0
Eluru,Mohd. Sheriff,Independents,1319.0,732089.0
Eluru,M.Krishnamohana Rao Thammareddy,Independents,2395.0,732089.0
Eluru,Chakka Sreeramulu,Independents,4364.0,732089.0
Eluru,Payyati Venkateshwara Vaidya,Independents,4760.0,732089.0
Eluru,Krishnamurthy Yeeranki,Independents,5768.0,732089.0
Eluru,Kaparde M.V.N.,Communist Party Of India,81390.0,732089.0
Eluru,K.Suryanarayana,Janta Party,83470.0,732089.0
Eluru,Chittoori Subbarao Chowdary,Indian Natioanl Congress (I),266805.0,732089.0
Machilipatnam,Venkataswamy Koonati,Independents,2331.0,702268.0
Machilipatnam,Nutakki Ramabrahmam,Independents,4235.0,702268.0
Machilipatnam,K.Durgaprasad Parimkayala,Janta Party (Secular),91438.0,702268.0
Machilipatnam,Buragadda Niranjana Rao,Janta Party,115108.0,702268.0
Machilipatnam,Ankineedu Maganti,Indian Natioanl Congress (I),249444.0,702268.0
Vijayawada,C.Purnachandra Rao,Independents,1478.0,765506.0
Vijayawada,Velamarthi Sikhamani,Independents,1868.0,765506.0
Vijayawada,Alasapuri Rajaiah,Independents,3704.0,765506.0
Vijayawada,Dasari Nagabhushana Rao,Communist Party Of India,129074.0,765506.0
Vijayawada,K.L.Rao,Janta Party,141920.0,765506.0
Vijayawada,Vidya Chennupati,Indian Natioanl Congress (I),240622.0,765506.0
Tenali,Ballarapu Raja Rao,Independents,4448.0,705166.0
Tenali,Choppara Sadhu,Independents,5455.0,705166.0
Tenali,Kamuru Koti Reddy,Independents,5675.0,705166.0
Tenali,Adams Kondamudi,Janta Party,66922.0,705166.0
Tenali,Lavu Balagangadhara Rao,Communist Party Of India (Marxist),144457.0,705166.0
Tenali,Meduri Nageswara Rao,Indian Natioanl Congress (I),214807.0,705166.0
Guntur,Velaga Ankamma Rao,Independents,1801.0,841689.0
Guntur,D. Satyanarayana Murthy,Independents,4885.0,841689.0
Guntur,Venkatareddy Kolli,Independents,6081.0,841689.0
Guntur,G. Krishna Kumari,Janta Party,77813.0,841689.0
Guntur,K. Sadasiva Rao,Janta Party (Secular),95625.0,841689.0
Guntur,N. G. Ranga,Indian Natioanl Congress (I),252961.0,841689.0
Bapatla,Dattatreya Konuri Kannaiah,Independents,3167.0,762427.0
Bapatla,Sesha Bramhachari Ravuri,Independents,3889.0,762427.0
Bapatla,Kalva Varadarajulu,Independents,7517.0,762427.0
Bapatla,Pragada Kotaiah,Janta Party,99024.0,762427.0
Bapatla,Sambaiah Pallaprolu,Janta Party (Secular),106375.0,762427.0
Bapatla,Ankineedu Prasada Rao Pamulapati,Indian Natioanl Congress (I),258116.0,762427.0
Narasaraopet,Bethapudi Prasada Rao,Independents,2247.0,820316.0
Narasaraopet,Sura Subbarayudu,Independents,2645.0,820316.0
Narasaraopet,Pattan Mahbub Khan,Independents,2763.0,820316.0
Narasaraopet,T.K. Kothanda Ram,Independents,2913.0,820316.0
Narasaraopet,P.Satyanarayana Sastry,Independents,4881.0,820316.0
